negativereason,airline,tweet_location,retweet_count,text,sentiment,topic
Late Flight,Virgin America,,0,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,Negative,4
Late Flight,Virgin America,,0,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,Negative,2
Flight Booking Problems,Virgin America,,0,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,Negative,9
,Virgin America,Earth,0,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,Negative,3
Late Flight,Virgin America,,0,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",Negative,8
Flight Booking Problems,Virgin America,San Francisco CA,0,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",Negative,4
Customer Service Issue,Virgin America,,0,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,Negative,2
,Virgin America,,0,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,Negative,0
Customer Service Issue,Virgin America,,0,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,Negative,3
Can't Tell,Virgin America,,0,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,Negative,6
Cancelled Flight,Virgin America,,0,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,Negative,0
Late Flight,Virgin America,San Diego,0,@VirginAmerica Another delayed flight? #likingyoulessandless,Negative,1
Cancelled Flight,Virgin America,"iPhone: 29.741360,-90.131523",0,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",Negative,7
Flight Booking Problems,Virgin America,Los Angeles,0,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.,Negative,4
Damaged Luggage,Virgin America,Las Vegas,0,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.,Negative,4
Damaged Luggage,Virgin America,Las Vegas,0,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?,Negative,3
Customer Service Issue,Virgin America,San Francisco,0,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,Negative,4
Cancelled Flight,Virgin America,CA,0,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!,Negative,4
Late Flight,Virgin America,Brooklyn,0,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",Negative,2
Cancelled Flight,Virgin America,Brooklyn,0,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)",Negative,0
Bad Flight,Virgin America,"Washington, DC",0,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter,Negative,7
Customer Service Issue,Virgin America,,0,@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2,Negative,7
Customer Service Issue,Virgin America,"Washington, DC",0,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers,Negative,2
Customer Service Issue,Virgin America,Tokyo,0,@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh,Negative,6
Can't Tell,Virgin America,"Belmar, NJ",0,"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher...",Negative,1
Customer Service Issue,Virgin America,,0,@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers,Negative,7
Cancelled Flight,Virgin America,,0,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?,Negative,6
Customer Service Issue,Virgin America,Northern Virginia,0,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!,Negative,4
Cancelled Flight,Virgin America,"Boston, MA",0,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?,Negative,0
Flight Attendant Complaints,Virgin America,"Las Vegas, NV",0,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever,Negative,3
Flight Booking Problems,Virgin America,"New York, NY",0,@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business,Negative,9
Can't Tell,Virgin America,,0,@VirginAmerica you suck!,Negative,3
Cancelled Flight,Virgin America,New York City ,0,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids,Negative,0
Cancelled Flight,Virgin America,MA // Ashton in Wonderland,0,@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything,Negative,0
Cancelled Flight,Virgin America,New York City,0,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better,Negative,0
,Virgin America,"Los Angeles, California",0,@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!,Negative,5
Cancelled Flight,Virgin America,FREE ADVICE! ,0,@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  â„ï¸â„ï¸â„ï¸,Negative,0
,Virgin America,"New York, NY",0,@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!,Negative,0
Cancelled Flight,Virgin America,,0,@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?,Negative,0
Customer Service Issue,Virgin America,"Silicon Valley, California",0,"@VirginAmerica your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin",Negative,6
Cancelled Flight,Virgin America,"New York, NY",0,"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?",Negative,0
Cancelled Flight,Virgin America,"California, USA",0,@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...,Negative,4
Can't Tell,Virgin America,,0,@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad,Negative,3
Customer Service Issue,Virgin America,"Los Angeles, CA",0,"@VirginAmerica Trying to reset my password, email never arrives. Help?",Negative,5
Late Flight,Virgin America,,0,@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?,Negative,1
Cancelled Flight,Virgin America,,0,"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?",Negative,0
Customer Service Issue,Virgin America,chile,0,"@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues",Negative,9
Bad Flight,Virgin America,,0,"@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews",Negative,8
Damaged Luggage,Virgin America,Las Vegas,0,@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.,Negative,4
Bad Flight,Virgin America,"Los Angeles, CA",0,@VirginAmerica requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver memberðŸ˜’,Negative,7
,Virgin America,Florida,0,@VirginAmerica This is what you missed @NewsVP. Next trip to the 407.,Negative,7
Bad Flight,Virgin America,San Francisco,0,@VirginAmerica #wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!,Negative,6
Customer Service Issue,Virgin America,Montreal,0,@VirginAmerica there is something wrong with you website in Safari iPhone,Negative,3
Customer Service Issue,Virgin America,,0,@VirginAmerica Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!,Negative,4
,Virgin America,,0,@VirginAmerica you know I'm flying virgin for the fight #MayweatherPacquiao,Negative,7
,Virgin America,Global,0,@VirginAmerica shares up on 4Q results - @iol http://t.co/XZ6qeG3nef,Negative,7
Lost Luggage,Virgin America,,0,@VirginAmerica already contacted Central Baggage &amp; sent DM. @RenttheRunway is charging me for the dress that was in the lost suitcase #help,Negative,2
Customer Service Issue,Virgin America,Rijswijk â™¡ The Netherlands,0,@VirginAmerica Is there anything going on with the website? I've been getting a lot of errors past 30 minutes.,Negative,9
Can't Tell,Virgin America,,0,@VirginAmerica @VirginAtlantic I have just checked in flight to SFO from LAX &amp; been told as Atlantic Flying Club Gold I get no benefits?!,Negative,2
Flight Attendant Complaints,Virgin America,dc,0,@VirginAmerica husband and I ordered three drinks via my screen and they never came. Awesome!,Negative,0
Flight Booking Problems,Virgin America,"Portland, Maine",0,"@VirginAmerica Funny story, your website is broken, you have missing javascript and stylesheets on the checkin process. I dislike this!",Negative,7
Customer Service Issue,Virgin America,San Francisco,0,@VirginAmerica Do you guys know your check-in links from emails are broken? http://t.co/2npXB6oBMr,Negative,6
Lost Luggage,Virgin America,,1,"@VirginAmerica lost my luggage 4 days ago on flight VX 112 from LAX to IAD &amp; I'm calling every day, no response.Please give me back my stuff",Negative,2
Flight Booking Problems,Virgin America,Massachusetts,0,@VirginAmerica The Flight Booking Problems section of your website seems to be broken on Chrome. Might wanna look into that.,Negative,4
,Virgin America, California 92705,0,@VirginAmerica missed my flight. How does standby work?,Negative,3
Flight Booking Problems,Virgin America,"Brooklyn, NY",0,@virginamerica the manage itinerary section of your website seems to be broken for me https://t.co/2pUJvCElNg,Negative,0
,Virgin America,,2,@VirginAmerica can u help this ðŸ‘¸ @FreyaBevan_Fund needs urgent treatment inðŸ‡ºðŸ‡¸2y old battling cancer could u help with flights ðŸ’—#freyasfund,Negative,7
Customer Service Issue,Virgin America,"San Francisco, CA",0,@virginAmerica Other carriers are less than half price for a round trip fare. I am stunned. http://t.co/UKdjjijroW,Negative,6
Flight Booking Problems,Virgin America,"San Francisco, CA",0,@VirginAmerica WTF is happening in PDX Late Flight March such that one way from SFO is ~$550?,Negative,1
Customer Service Issue,Virgin America,Northern Virginia,0,@VirginAmerica Applied for Status Match on Feb 1. Got confirmation email same day. Still no news though. You guys have dropped ball Late Flightly ðŸ˜¥,Negative,1
,Virgin America,,0,@VirginAmerica Flight Booking Problems flight to uphold my status match.  Do taxes on ticket count as earned status points?  #statusmatch #virginamerica,Negative,4
Can't Tell,Virgin America,san francisco,0,"@VirginAmerica seriously, though. will there not be direct flights from SFO-FLL in may???",Negative,0
Flight Booking Problems,Virgin America,"LES, NYC",0,@VirginAmerica I am deeply disappointed that your birthday promo was not applied to a trip I booked mere days before I received the email,Negative,4
,Virgin America,Chicago,0,@VirginAmerica of course! I work for @VirginAtlantic and I'm obsessed with the entire Virgin family!!,Negative,8
Bad Flight,Virgin America,CT,0,@VirginAmerica on VX399 from JFK to LA - dirty plane - not up to your standards.,Negative,7
Bad Flight,Virgin America,CT,0,@VirginAmerica on flight VX399 headed to LA from JFK - dirtiest VA plane I have ever been on. Sad for a great airline.,Negative,3
Customer Service Issue,Virgin America,San Francisco,0,@VirginAmerica your Avis rental continue button doesn't work on your website to book car. Tried 4 times on phone.  This sucks!,Negative,4
Late Flight,Virgin America,Global,0,@VirginAmerica delayed to10.30!!,Negative,1
,Virgin America,"Charlotte, NC",0,"@VirginAmerica CEO says #Southwest &amp; #jetblue have strayed from low cost model.
http://t.co/96Sctomh29",Negative,7
,Virgin America,"Doha, Qatar",0,@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/FVUdmh27pF @TheNationalUAE,Negative,7
,Virgin America,Libya,0,@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/DCoBoKN7EE @TheNationalUAE,Negative,7
,Virgin America,"Algiers, Algeria",0,@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/vw4P4T4tLh @TheNationalUAE,Negative,7
Can't Tell,Virgin America,,0,@VirginAmerica all crap channels which is why I pay to watch UK tv,Negative,4
,Virgin America,St. Francis (Calif.),0,@VirginAmerica no A's channel this year?,Negative,7
Can't Tell,Virgin America,CT,0,@VirginAmerica how come you don't have an iPhone app? Still using and making me waste paper.,Negative,4
Customer Service Issue,Virgin America,"San Francisco, CA",0,@VirginAmerica Your back of seat entertainment system does not accept credit cards that  have an apostrophe in the surname. #apostrophefail,Negative,9
longlines,Virgin America,"Washington, D.C.",0,@VirginAmerica When will VX use all 6 LGA slots instead of 4 today? Adding AUS makes this less likely :(,Negative,6
Flight Booking Problems,Virgin America,"San Francisco, CA",0,@VirginAmerica sad to learn you no longer fly SFO &gt; PHL. Hope it returns!,Negative,2
,Virgin America, NJ USA,0,"@VirginAmerica - can you tweet me the Cancelled Flight/chng fee for a flight? or can I rebook under one of your affiliates? If so, who are afiliates?",Negative,4
Bad Flight,Virgin America,"New York, NY",0,@VirginAmerica kinda sucked my earphone jack didn't work on my flight. They may want to look into that for future passengers,Negative,3
Bad Flight,Virgin America,USA,0,@VirginAmerica Very poor experience. First computer problem now seat malfunction. Stuck. Missing meeting in San Diego.,Negative,4
,Virgin America,,0,"@VirginAmerica to battle @SouthwestAir on @DallasLoveField-@AUStinAirport route 
http://t.co/6RLz0EBk2X via @usatoday",Negative,7
,Virgin America,"San Jose, California
",0,@VirginAmerica I miss the #nerdbird in San Jose,Negative,4
,Virgin America,,4,@VirginAmerica @AmericanAir can u help with flights to get a 2y old battling cancer who needs treatment in ðŸ‡ºðŸ‡¸ @FreyaBevan_Fund ðŸ’— ðŸŽ€ ðŸ’—,Negative,7
Damaged Luggage,Virgin America,,0,@VirginAmerica Had to spend 5 hours worrying that items in carryon would be broken/stolen since I couldn't carry them on plane or lock bag.,Negative,2
Flight Attendant Complaints,Virgin America,,0,"@VirginAmerica All of group E was told there was no more room in the bins. when I got on the plane, was room for at least 4 bags in my row!",Negative,4
Late Flight,Virgin America,Texas,0,@VirginAmerica Why is it taking 12 years to fly home to Dallas? Get your shit together.,Negative,9
,Virgin America,"Los Angeles, CA",0,@VirginAmerica do you have an application for iOS? Was looking and only saw Virgin Mexico :( &lt;/3,Negative,7
Customer Service Issue,Virgin America,,0,"@VirginAmerica As one of the travelers affected by the Boston storm, I'm shocked at Virgin's complete apathy toward their customers.",Negative,3
Customer Service Issue,Virgin America,,0,@VirginAmerica Umm so no reason as to why this is? Is there someone different I should contact (or contact me) to get a definitive answer?,Negative,2
,Virgin America,"Charlottesville, VA",0,@virginamerica Any way to change from Main Cabin to Main Cabin Select (on same flight) without paying a change fee penalty?,Negative,7
Late Flight,Virgin America,"Washington, DC",0,@VirginAmerica my flight (6000) scheduled for 1pm departure still says on time but no plane at gate. Any update on how long of a delay?,Negative,1
Cancelled Flight,United,"Bay Area, California ",0,@united still no refund or word via DM. Please resolve this issue as your Cancelled Flightled flight was useless to my assistant's trip.,Negative,9
Late Flight,United,,0,@united Delayed due to lack of crew and now delayed again because there's a long line for deicing... Still need to improve service #united,Negative,6
,United,"Berkeley Heights, NJ",0,"@united I understand, but it's tough when there is no way to get to the airport w/o serious risk of an accident. It's a steep price.",Negative,0
Flight Booking Problems,United,Las Vegas ,0,@united is the worst. Nonrefundable First class tickets? Oh because when you select Global/FC their system auto selects economy w/upgrade.,Negative,2
Lost Luggage,United,,0,"@united if the car seat is lost @united should just reimburse me for a new one, this is not a pair of shoes, it's a necessity for my child",Negative,9
Can't Tell,United,,0,@united @highbuddyyy that totally sucks my cousin worked at PHL said @united,Negative,3
Can't Tell,United,NYC,0,"@united thats weak. See ya ðŸ‘‹
Hey @VirginAmerica !!",Negative,8
,United,USA,0,@united I lost a voucher that I was given in Miami aeroport on jan 26. I did not use it.,Negative,2
Customer Service Issue,United,"Parkersburg, WV",0,@united I sure did.   I had to drive a total of 3 hours to get my own bag.  I'd like to explain that debacle but no one wants to talk to me.,Negative,2
Customer Service Issue,United,USA,0,@united How does United refuse to reissue a $400 lost voucher when their plane didn't take off due to mechanics? #badcustomerservice,Negative,8
Can't Tell,United,DC,0,"@united also during the run I was instructed to do, I shattered my computer. http://t.co/oAflfr7WXB",Negative,1
,United,,0,"@united I am trying to find out if the loaner seat is new or used, a used car seat is illegal according to safety regulations",Negative,8
Flight Attendant Complaints,United,"Houston, TX",0,"@united iah to charlotte. Baggage claim rep latrice h. #customerservice non existent, Ignored customer then inappropriately touched customer",Negative,2
Cancelled Flight,United,"Kansas City, MO",0,@united A refund and flight vouchers or another flight on a different airline at your expense for today. 8 hour drive is very inconvenient,Negative,0
Flight Booking Problems,United,"Colorado Springs, Colorado",0,"@united No, I need you guys to not over book planes. It's not a concern, I'll just travel with someone else moving forward.",Negative,4
Can't Tell,United,"Austin, TX",0,@united rude rude,Negative,2
Flight Booking Problems,United,The Center of My Universe,0,@united - Why can't I get a boarding pass for my Austrian Airlines codeshare flight. Rebook incls a 6 hour layover &amp; I am stuck outside sec,Negative,3
Lost Luggage,United,"Jerusalem, Israel",0,@united just flew to #TelAviv paid $100 from a third suitcase which didn't even make it on the plane! Besides for the impolite service...,Negative,4
Lost Luggage,United,"Jacksonville, FL",0,@United  My bag is still in Colo Springs. I am disabled and have to search an unfamiliar airport and look for my bag. Not a good outcome,Negative,6
Customer Service Issue,United,,1,@united Shame that there's no flex to tickets transfer rules.  Even calling from Neurosurgery ICU isn't enough!,Negative,9
Customer Service Issue,United,"Jacksonville, FL",0,@united No. Denver said they don't handle baggage that made it to Colo. Springs.  They gave me an 800 number to call. No help there either.,Negative,4
Customer Service Issue,United,,0,"@united once he found out we had a problem he avoided me like the plague. Was told ""we can't find a supervisor.""",Negative,1
Cancelled Flight,United,,0,@united ZCC82U Cancelled Flight flight 16h in advance??? Need connect flight reschedule so the link isn't helping. Help!? Gf waited months to see me.,Negative,0
Late Flight,United,,0,"@united in addition, my first flight was delayed an hour and I'm arriving at my destination 8 hrs Late Flight.",Negative,1
,United,"Kansas City, MO",0,"@united Cancelled Flighted our flight, didn't rebook us on added flight, now have to drive from a Denver to KC....thanks!",Negative,0
Flight Attendant Complaints,United,,0,"@united v upset with your disability  ""services"". When I told one of your employees I was carrying medical equipment she was very rude.",Negative,6
Customer Service Issue,United,,0,@united thnx for quick reply but don't think you can assist. Our intl grp will be put to considerable inconvenience today.,Negative,5
Flight Attendant Complaints,United,Louisville,0,@united silly I'm flying delta today. Your united club staff and attendants are surly and unhelpful and always seem bothered by pesky folk,Negative,8
Customer Service Issue,United,"Steamboat Springs, CO",0,@united Mobile boarding pass disappeared from phone while standing in line to board. Second time this week... Hmm.,Negative,3
,United,nyc to la,0,@united dm these nuts,Negative,3
Late Flight,United,,0,@united I tried but no one was available in bogota and everyone was rude in Houston. I was stuck for 35 hours because of you guys,Negative,2
Bad Flight,United,,0,@united #worst2unitedflightsever UA 236 LAS to IAD 2/24 mechanical problems again - took off - had to land for fix - delayed again #wtfodds!,Negative,1
Late Flight,United,"Washington, D.C. Metro Area",0,@United. What's going on with UA 236?  outbound flight last thurs was delayed 4hrs How long will this delay be? #worst2unitedflightsever,Negative,1
Late Flight,United,,0,@united #worst2unitedflightsever UA1429 IAD to LAS 2/19 mechanical problems - switched aircraft delayed 3.5 hours!,Negative,1
,United,"Miami, New York, Boston",0,@united Airline trouble this winter &amp; not getting good customer service? contact http://t.co/aQjn4HwNaC  we negotiate resolutions for You!,Negative,2
Customer Service Issue,United,,0,@united Blackmailed me into paying Â£130 extra or having my return ticket nullified in San Francisco Airport. Terrible service from rep #scam,Negative,4
Customer Service Issue,United,NYC,0,@united disappointed that u didnt honor my $100 credit given to me for ur mistakes. Taking my business elsewhere  âœŒï¸out.,Negative,6
Customer Service Issue,United,"Marlow, UK",0,@united ok it's now been 7 months waiting to hear from airline. I gave them quite a bit more than the 30 days requested! Terrible service,Negative,5
Flight Booking Problems,United,"Summit, NJ",0,@united What's going on with your website? I'm Flight Booking Problems three tickets today and I've been booted off the system umpteen times.,Negative,4
Lost Luggage,United,"Hoops City (Memphis, TN)",0,"@united I received 1 bag last night, I am still missing the other one.",Negative,1
,United,Manchester,0,"@united bet you wont honour them, like mine ey",Negative,0
Late Flight,United,Midwest,0,@united 2nd flight also delayed no pilots! But they boarded is so we can just sit here! #scheduling,Negative,1
Bad Flight,United,Seattle,0,@united but it's hard to stay upset at someone when they at least TRY to show remorse.,Negative,6
Customer Service Issue,United,Seattle,0,"@united By the way, a simple apology goes a long way, even if it's a hollow one. It's obvious that you don't care about me or my well-being,",Negative,6
Customer Service Issue,United,Seattle,0,@united This isn't a one time thing either! It's a shocking pattern of repeated neglect and disrespect.,Negative,8
Flight Attendant Complaints,United,Seattle,0,@united ours in July. You have ZERO excuses for this. You have an out-of-date system that causes problems like this.,Negative,6
Customer Service Issue,United,"Princeton, NJ",0,@united Not sure what you are talking about. She is going on nonstop flights. SNA to SFO and then SFO to EWR.,Negative,3
Customer Service Issue,United,"Chicago, IL",0,".@united it will be because I'm moving to @AmericanAir because of @united talk, no service",Negative,2
Can't Tell,United,Global,0,@united I see you guys are at it again. Amazing how one company continually makes mistakes yet fails to be held accountable for their error,Negative,6
Late Flight,United,. ,0,@united Yeah sorry but there's always a problem with United. And you have an international reputation for having problems.,Negative,8
Flight Attendant Complaints,United,,0,@united so you're telling me there is no number to call after being left in an airport because of a negligent pilot and staff?,Negative,0
Customer Service Issue,United,Larne,0,@united Could this email be resent as it doesnt appear to have arrived.,Negative,7
Customer Service Issue,United,"Princeton, NJ",0,@united I did DM the details but still no response. I have to book today.,Negative,5
,United,,0,@united I know this is probably a no but is there a way to get a cheaper airfare ticket if the flight is leaving in a few hours? ðŸ™,Negative,8
Late Flight,United,,0,"@united I've sent the message, let me know if you got it. I'm not very twitter-literate. Also, is he REALLY going to be stuck for 18hrs?",Negative,5
Customer Service Issue,United,Larne,0,@united very unhappy at no response to complaint emailed on 2nd Feb ref.8441639. Awful customer service!,Negative,5
Late Flight,United,,0,@united 1k and had problem getting out of FLL to IAH  sent DM to you about making my connection  please let me know,Negative,1
Cancelled Flight,United,,0,"@united I'm grounded in Montreal with ua3659. I am missing my connection ua3417 to St. Louis. Can you help,Do you have a private jet for me?",Negative,1
Can't Tell,United,Seattle,0,@united I'm so frustrated and nervous because of this.,Negative,8
Flight Attendant Complaints,United,Seattle,0,@united are the ones who make it difficult for me.,Negative,4
Bad Flight,United,Seattle,0,@united I'm not a child. I'm someone who has an issue with flying and prepares ahead of time to reduce the distress caused by planes. You,Negative,1
Cancelled Flight,United,,0,@united how does it get Cancelled Flightled 10 hours before take off?,Negative,0
Can't Tell,United,Seattle,0,"@united This ALWAYS happens with you guys, and it makes traveling incredibly stressful and uncomfortable. Is that good business to you?",Negative,6
Bad Flight,United,Seattle,0,@united So what does someone with severe anxiety do when the one person who can help him isn't next to him?,Negative,9
Can't Tell,United,,0,@united I'm seeking to go 2 client. B/c u cant get me there I need refund. I filled out form not confident it works if past is an indication,Negative,1
Customer Service Issue,United,,0,@united Luckily I made my flights this time but was so disappointed with the lack of communication :(,Negative,6
Cancelled Flight,United,,0,@united checking to see why flight 3466 (atl-ord) got Cancelled Flighted?,Negative,1
Customer Service Issue,United,Seattle,0,@united service so far has been horrid. We wanted to end the trip on a high note. Guess that's not an option.,Negative,6
Bad Flight,United,Seattle,0,@united Booked a flight home over 7 months ago and requested seats together for my fiancÃ©e and I. We got 2 middle seats. UNACCEPTABLE. The,Negative,2
Can't Tell,United,nyc to la,0,@united YOU GUYS ARE HORRIBLE.,Negative,6
Customer Service Issue,United,,0,@united Why do I have to pay $ 17 for wifi with an international business ticket?  #pennypincher,Negative,6
Lost Luggage,United,,0,"@united ok. To top things off, you've lost my luggage. Could you get ANY worse??? #UnitedAirlines",Negative,1
Damaged Luggage,United,London baby,0,@united AND my luggage has been broken!! #youcouldntmakethis up #brokenwheel,Negative,2
,United,,0,@united is flight 587 from DFW to ORD currently on-time? I see an advisory that DFW may be affected by weather,Negative,8
